Variable_ID,LowerBound,UpperBound
C0001,0.0,1.98
C0002,0.0,18.32
C0003,0.0,18.86
C0004,0.0,17.2
C0005,0.0,17.53
C0006,0.0,17.29
C0007,0.0,17.54
C0008,0.0,17.65
C0009,0.0,18.59
C0010,0.0,17.35
C0011,0.0,17.92
C0012,0.0,18.59
C0013,0.0,18.32
C0014,0.0,17.66
C0015,0.0,18.52
C0016,0.0,2.08
C0017,0.0,18.11
C0018,0.0,17.64
C0019,0.0,18.69
C0020,0.0,17.3
C0021,0.0,18.66
C0022,0.0,17.39
C0023,0.0,17.45
C0024,0.0,17.89
C0025,0.0,17.72
C0026,0.0,18.21
C0027,0.0,18.53
C0028,0.0,17.86
C0029,0.0,17.15
C0030,0.0,18.65
C0031,0.0,17.14
C0032,0.0,17.45
C0033,0.0,2.51
C0034,0.0,18.39
C0035,0.0,17.24
C0036,0.0,18.77
C0037,0.0,19.0
C0038,0.0,18.04
C0039,0.0,18.56
C0040,0.0,18.26
C0041,0.0,18.52
C0042,0.0,18.68
C0043,0.0,17.69
C0044,0.0,18.73
C0045,0.0,17.21
C0046,0.0,18.14
C0047,0.0,18.22
C0048,0.0,17.1
C0049,0.0,17.25
C0050,0.0,2.3
C0051,0.0,17.08
C0052,0.0,18.41
C0053,0.0,18.57
C0054,0.0,18.23
C0055,0.0,18.22
C0056,0.0,18.66
C0057,0.0,18.5
C0058,0.0,17.27
C0059,0.0,17.58
C0060,0.0,18.3
C0061,0.0,17.15
C0062,0.0,18.82
C0063,0.0,17.99
C0064,0.0,17.24
C0065,0.0,18.7
C0066,0.0,17.17
C0067,0.0,17.14
C0068,0.0,17.88
C0069,0.0,17.86
C0070,0.0,2.08
C0071,0.0,17.48
C0072,0.0,17.45
C0073,0.0,18.83
C0074,0.0,17.91
C0075,0.0,17.78
C0076,0.0,18.73
C0077,0.0,17.63
C0078,0.0,18.43
C0079,0.0,17.53
C0080,0.0,17.18
C0081,0.0,18.57
C0082,0.0,17.38
C0083,0.0,17.47
C0084,0.0,18.35
C0085,0.0,18.11
C0086,0.0,18.83
C0087,0.0,1.55
C0088,0.0,18.04
C0089,0.0,18.26
C0090,0.0,18.79
C0091,0.0,17.22
C0092,0.0,18.06
C0093,0.0,17.06
C0094,0.0,18.95
C0095,0.0,18.53
C0096,0.0,17.7
C0097,0.0,18.35
C0098,0.0,17.67
C0099,0.0,18.52
C0100,0.0,18.86
C0101,0.0,1.33
C0102,0.0,18.36
C0103,0.0,17.6
C0104,0.0,17.91
C0105,0.0,17.64
C0106,0.0,18.43
C0107,0.0,18.42
C0108,0.0,17.59
C0109,0.0,18.84
C0110,0.0,18.18
C0111,0.0,17.56
C0112,0.0,17.34
C0113,0.0,18.6
C0114,0.0,17.34
C0115,0.0,17.18
C0116,0.0,18.21
C0117,0.0,18.03
C0118,0.0,1.98
C0119,0.0,17.87
C0120,0.0,17.46
C0121,0.0,17.26
C0122,0.0,18.26
C0123,0.0,18.36
C0124,0.0,17.83
C0125,0.0,18.94
C0126,0.0,18.03
C0127,0.0,18.56
C0128,0.0,18.17
C0129,0.0,17.81
C0130,0.0,18.94
C0131,0.0,18.04
C0132,0.0,18.75
C0133,0.0,1.86
C0134,0.0,18.26
C0135,0.0,17.18
C0136,0.0,18.63
C0137,0.0,17.33
C0138,0.0,18.49
C0139,0.0,17.87
C0140,0.0,17.9
C0141,0.0,18.75
C0142,0.0,18.9
C0143,0.0,17.2
C0144,0.0,18.24
C0145,0.0,17.52
C0146,0.0,18.92
C0147,0.0,2.18
C0148,0.0,17.83
C0149,0.0,18.65
C0150,0.0,18.51
C0151,0.0,18.7
C0152,0.0,17.19
C0153,0.0,17.81
C0154,0.0,18.34
C0155,0.0,17.45
C0156,0.0,18.06
C0157,0.0,18.98
C0158,0.0,18.34
C0159,0.0,17.38
C0160,0.0,17.36
C0161,0.0,18.91
C0162,0.0,18.67
C0163,0.0,18.88
C0164,0.0,17.18
C0165,0.0,18.38
C0166,0.0,17.94
C0167,0.0,18.27
C0168,0.0,2.69
C0169,0.0,18.76
C0170,0.0,17.56
C0171,0.0,17.54
C0172,0.0,18.16
C0173,0.0,18.69
C0174,0.0,18.18
C0175,0.0,18.45
C0176,0.0,17.63
C0177,0.0,17.01
C0178,0.0,18.48
C0179,0.0,17.52
C0180,0.0,18.92
C0181,0.0,18.71
C0182,0.0,18.88
C0183,0.0,17.91
C0184,0.0,18.87
C0185,0.0,18.53
C0186,0.0,18.99
C0187,0.0,2.94
C0188,0.0,18.22
C0189,0.0,18.11
C0190,0.0,17.84
C0191,0.0,17.84
C0192,0.0,17.63
C0193,0.0,18.04
C0194,0.0,18.53
C0195,0.0,17.23
C0196,0.0,17.25
C0197,0.0,18.4
C0198,0.0,17.66
C0199,0.0,17.44
C0200,0.0,18.42
C0201,0.0,17.84
C0202,0.0,18.48
C0203,0.0,17.95
C0204,0.0,18.19
C0205,0.0,17.47
C0206,0.0,17.83
C0207,0.0,17.08
C0208,0.0,17.3
C0209,0.0,1.9
C0210,0.0,17.63
C0211,0.0,18.52
C0212,0.0,18.62
C0213,0.0,17.97
C0214,0.0,18.03
C0215,0.0,17.98
C0216,0.0,17.88
C0217,0.0,18.32
C0218,0.0,17.65
C0219,0.0,17.63
C0220,0.0,18.41
C0221,0.0,17.81
C0222,0.0,18.05
C0223,0.0,2.47
C0224,0.0,18.35
C0225,0.0,17.21
C0226,0.0,17.18
C0227,0.0,17.98
C0228,0.0,17.94
C0229,0.0,17.52
C0230,0.0,17.35
C0231,0.0,17.07
C0232,0.0,17.62
C0233,0.0,17.26
C0234,0.0,17.4
C0235,0.0,18.29
C0236,0.0,18.11
C0237,0.0,18.98
C0238,0.0,17.69
C0239,0.0,17.81
C0240,0.0,18.64
C0241,0.0,17.69
C0242,0.0,17.42
C0243,0.0,17.79
C0244,0.0,18.22
C0245,0.0,18.4
C0246,0.0,2.31
C0247,0.0,18.25
C0248,0.0,18.6
C0249,0.0,17.27
C0250,0.0,18.7
C0251,0.0,18.25
C0252,0.0,17.6
C0253,0.0,17.14
C0254,0.0,18.44
C0255,0.0,17.24
C0256,0.0,17.08
C0257,0.0,18.12
C0258,0.0,17.22
C0259,0.0,18.38
C0260,0.0,1.46
C0261,0.0,18.6
C0262,0.0,17.47
C0263,0.0,18.69
C0264,0.0,18.05
C0265,0.0,17.24
C0266,0.0,18.15
C0267,0.0,18.44
C0268,0.0,17.21
C0269,0.0,17.51
C0270,0.0,17.6
C0271,0.0,17.66
C0272,0.0,17.3
C0273,0.0,17.09
C0274,0.0,17.24
C0275,0.0,17.59
C0276,0.0,18.92
C0277,0.0,1.26
C0278,0.0,18.63
C0279,0.0,17.66
C0280,0.0,18.39
C0281,0.0,18.61
C0282,0.0,18.78
C0283,0.0,17.84
C0284,0.0,17.77
C0285,0.0,18.67
C0286,0.0,18.47
C0287,0.0,17.47
C0288,0.0,18.15
C0289,0.0,17.68
C0290,0.0,17.31
C0291,0.0,17.38
C0292,0.0,18.55
C0293,0.0,18.91
C0294,0.0,18.21
C0295,0.0,18.8
C0296,0.0,17.64
C0297,0.0,18.65
C0298,0.0,18.09
C0299,0.0,17.94
C0300,0.0,2.77
C0301,0.0,18.33
C0302,0.0,17.75
C0303,0.0,17.91
C0304,0.0,17.28
C0305,0.0,18.58
C0306,0.0,18.16
C0307,0.0,18.96
C0308,0.0,17.52
C0309,0.0,17.66
C0310,0.0,18.55
C0311,0.0,17.83
C0312,0.0,17.19
C0313,0.0,18.54
C0314,0.0,18.23
C0315,0.0,18.47
C0316,0.0,18.4
C0317,0.0,17.91
C0318,0.0,18.84
C0319,0.0,17.01
C0320,0.0,17.33
C0321,0.0,17.45
C0322,0.0,17.09
C0323,0.0,2.77
C0324,0.0,17.74
C0325,0.0,18.23
C0326,0.0,18.47
C0327,0.0,18.97
C0328,0.0,17.5
C0329,0.0,17.61
C0330,0.0,18.31
C0331,0.0,17.04
C0332,0.0,17.5
C0333,0.0,18.92
C0334,0.0,18.61
C0335,0.0,18.85
C0336,0.0,17.44
C0337,0.0,18.08
C0338,0.0,2.15
C0339,0.0,17.17
C0340,0.0,18.21
C0341,0.0,17.69
C0342,0.0,17.84
C0343,0.0,17.64
C0344,0.0,18.73
C0345,0.0,18.75
C0346,0.0,18.62
C0347,0.0,17.42
C0348,0.0,18.9
C0349,0.0,18.23
C0350,0.0,17.12
C0351,0.0,17.82
C0352,0.0,17.67
C0353,0.0,18.34
C0354,0.0,18.88
C0355,0.0,17.98
C0356,0.0,18.32
C0357,0.0,18.86
C0358,0.0,17.2
C0359,0.0,17.53
C0360,0.0,17.29
C0361,0.0,17.54
C0362,0.0,17.65
C0363,0.0,18.59
C0364,0.0,17.35
C0365,0.0,17.92
C0366,0.0,18.59
C0367,0.0,18.32
C0368,0.0,17.66
C0369,0.0,18.52
C0370,0.0,20.0
C0371,0.0,18.08
C0372,0.0,18.11
C0373,0.0,17.64
C0374,0.0,18.69
C0375,0.0,17.3
C0376,0.0,18.66
C0377,0.0,17.39
C0378,0.0,17.45
C0379,0.0,17.89
C0380,0.0,17.72
C0381,0.0,18.21
C0382,0.0,18.53
C0383,0.0,17.86
C0384,0.0,17.15
C0385,0.0,18.65
C0386,0.0,17.14
C0387,0.0,17.45
C0388,0.0,20.0
C0389,0.0,18.51
C0390,0.0,18.39
C0391,0.0,17.24
C0392,0.0,18.77
C0393,0.0,19.0
C0394,0.0,18.04
C0395,0.0,18.56
C0396,0.0,18.26
C0397,0.0,18.52
C0398,0.0,18.68
C0399,0.0,17.69
C0400,0.0,18.73
C0401,0.0,17.21
C0402,0.0,18.14
C0403,0.0,18.22
C0404,0.0,17.1
C0405,0.0,17.25
C0406,0.0,20.0
C0407,0.0,18.3
C0408,0.0,17.08
C0409,0.0,18.41
C0410,0.0,18.57
C0411,0.0,18.23
C0412,0.0,18.22
C0413,0.0,18.66
C0414,0.0,18.5
C0415,0.0,17.27
C0416,0.0,17.58
C0417,0.0,18.3
C0418,0.0,17.15
C0419,0.0,18.82
C0420,0.0,17.99
C0421,0.0,17.24
C0422,0.0,18.7
C0423,0.0,17.17
C0424,0.0,17.14
C0425,0.0,17.88
C0426,0.0,17.86
C0427,0.0,20.0
C0428,0.0,18.08
C0429,0.0,17.48
C0430,0.0,17.45
C0431,0.0,18.83
C0432,0.0,17.91
C0433,0.0,17.78
C0434,0.0,18.73
C0435,0.0,17.63
C0436,0.0,18.43
C0437,0.0,17.53
C0438,0.0,17.18
C0439,0.0,18.57
C0440,0.0,17.38
C0441,0.0,17.47
C0442,0.0,18.35
C0443,0.0,18.11
C0444,0.0,18.83
C0445,0.0,20.0
C0446,0.0,17.55
C0447,0.0,18.04
C0448,0.0,18.26
C0449,0.0,18.79
C0450,0.0,17.22
C0451,0.0,18.06
C0452,0.0,17.06
C0453,0.0,18.95
C0454,0.0,18.53
C0455,0.0,17.7
C0456,0.0,18.35
C0457,0.0,17.67
C0458,0.0,18.52
C0459,0.0,18.86
C0460,0.0,20.0
C0461,0.0,17.33
C0462,0.0,18.36
C0463,0.0,17.6
C0464,0.0,17.91
C0465,0.0,17.64
C0466,0.0,18.43
C0467,0.0,18.42
C0468,0.0,17.59
C0469,0.0,18.84
C0470,0.0,18.18
C0471,0.0,17.56
C0472,0.0,17.34
C0473,0.0,18.6
C0474,0.0,17.34
C0475,0.0,17.18
C0476,0.0,18.21
C0477,0.0,18.03
C0478,0.0,20.0
C0479,0.0,17.98
C0480,0.0,17.87
C0481,0.0,17.46
C0482,0.0,17.26
C0483,0.0,18.26
C0484,0.0,18.36
C0485,0.0,17.83
C0486,0.0,18.94
C0487,0.0,18.03
C0488,0.0,18.56
C0489,0.0,18.17
C0490,0.0,17.81
C0491,0.0,18.94
C0492,0.0,18.04
C0493,0.0,18.75
C0494,0.0,20.0
C0495,0.0,17.86
C0496,0.0,18.26
C0497,0.0,17.18
C0498,0.0,18.63
C0499,0.0,17.33
C0500,0.0,18.49
C0501,0.0,17.87
C0502,0.0,17.9
C0503,0.0,18.75
C0504,0.0,18.9
C0505,0.0,17.2
C0506,0.0,18.24
C0507,0.0,17.52
C0508,0.0,18.92
C0509,0.0,20.0
C0510,0.0,18.18
C0511,0.0,17.83
C0512,0.0,18.65
C0513,0.0,18.51
C0514,0.0,18.7
C0515,0.0,17.19
C0516,0.0,17.81
C0517,0.0,18.34
C0518,0.0,17.45
C0519,0.0,18.06
C0520,0.0,18.98
C0521,0.0,18.34
C0522,0.0,17.38
C0523,0.0,17.36
C0524,0.0,18.91
C0525,0.0,18.67
C0526,0.0,18.88
C0527,0.0,17.18
C0528,0.0,18.38
C0529,0.0,17.94
C0530,0.0,18.27
C0531,0.0,20.0
C0532,0.0,18.69
C0533,0.0,18.76
C0534,0.0,17.56
C0535,0.0,17.54
C0536,0.0,18.16
C0537,0.0,18.69
C0538,0.0,18.18
C0539,0.0,18.45
C0540,0.0,17.63
C0541,0.0,17.01
C0542,0.0,18.48
C0543,0.0,17.52
C0544,0.0,18.92
C0545,0.0,18.71
C0546,0.0,18.88
C0547,0.0,17.91
C0548,0.0,18.87
C0549,0.0,18.53
C0550,0.0,18.99
C0551,0.0,20.0
C0552,0.0,18.94
C0553,0.0,18.22
C0554,0.0,18.11
C0555,0.0,17.84
C0556,0.0,17.84
C0557,0.0,17.63
C0558,0.0,18.04
C0559,0.0,18.53
C0560,0.0,17.23
C0561,0.0,17.25
C0562,0.0,18.4
C0563,0.0,17.66
C0564,0.0,17.44
C0565,0.0,18.42
C0566,0.0,17.84
C0567,0.0,18.48
C0568,0.0,17.95
C0569,0.0,18.19
C0570,0.0,17.47
C0571,0.0,17.83
C0572,0.0,17.08
C0573,0.0,17.3
C0574,0.0,20.0
C0575,0.0,17.9
C0576,0.0,17.63
C0577,0.0,18.52
C0578,0.0,18.62
C0579,0.0,17.97
C0580,0.0,18.03
C0581,0.0,17.98
C0582,0.0,17.88
C0583,0.0,18.32
C0584,0.0,17.65
C0585,0.0,17.63
C0586,0.0,18.41
C0587,0.0,17.81
C0588,0.0,18.05
C0589,0.0,20.0
C0590,0.0,18.47
C0591,0.0,18.35
C0592,0.0,17.21
C0593,0.0,17.18
C0594,0.0,17.98
C0595,0.0,17.94
C0596,0.0,17.52
C0597,0.0,17.35
C0598,0.0,17.07
C0599,0.0,17.62
C0600,0.0,17.26
C0601,0.0,17.4
C0602,0.0,18.29
C0603,0.0,18.11
C0604,0.0,18.98
C0605,0.0,17.69
C0606,0.0,17.81
C0607,0.0,18.64
C0608,0.0,17.69
C0609,0.0,17.42
C0610,0.0,17.79
C0611,0.0,18.22
C0612,0.0,18.4
C0613,0.0,20.0
C0614,0.0,18.31
C0615,0.0,18.25
C0616,0.0,18.6
C0617,0.0,17.27
C0618,0.0,18.7
C0619,0.0,18.25
C0620,0.0,17.6
C0621,0.0,17.14
C0622,0.0,18.44
C0623,0.0,17.24
C0624,0.0,17.08
C0625,0.0,18.12
C0626,0.0,17.22
C0627,0.0,18.38
C0628,0.0,20.0
C0629,0.0,17.46
C0630,0.0,18.6
C0631,0.0,17.47
C0632,0.0,18.69
C0633,0.0,18.05
C0634,0.0,17.24
C0635,0.0,18.15
C0636,0.0,18.44
C0637,0.0,17.21
C0638,0.0,17.51
C0639,0.0,17.6
C0640,0.0,17.66
C0641,0.0,17.3
C0642,0.0,17.09
C0643,0.0,17.24
C0644,0.0,17.59
C0645,0.0,18.92
C0646,0.0,20.0
C0647,0.0,17.26
C0648,0.0,18.63
C0649,0.0,17.66
C0650,0.0,18.39
C0651,0.0,18.61
C0652,0.0,18.78
C0653,0.0,17.84
C0654,0.0,17.77
C0655,0.0,18.67
C0656,0.0,18.47
C0657,0.0,17.47
C0658,0.0,18.15
C0659,0.0,17.68
C0660,0.0,17.31
C0661,0.0,17.38
C0662,0.0,18.55
C0663,0.0,18.91
C0664,0.0,18.21
C0665,0.0,18.8
C0666,0.0,17.64
C0667,0.0,18.65
C0668,0.0,18.09
C0669,0.0,17.94
C0670,0.0,20.0
C0671,0.0,18.77
C0672,0.0,18.33
C0673,0.0,17.75
C0674,0.0,17.91
C0675,0.0,17.28
C0676,0.0,18.58
C0677,0.0,18.16
C0678,0.0,18.96
C0679,0.0,17.52
C0680,0.0,17.66
C0681,0.0,18.55
C0682,0.0,17.83
C0683,0.0,17.19
C0684,0.0,18.54
C0685,0.0,18.23
C0686,0.0,18.47
C0687,0.0,18.4
C0688,0.0,17.91
C0689,0.0,18.84
C0690,0.0,17.01
C0691,0.0,17.33
C0692,0.0,17.45
C0693,0.0,17.09
C0694,0.0,20.0
C0695,0.0,18.77
C0696,0.0,17.74
C0697,0.0,18.23
C0698,0.0,18.47
C0699,0.0,18.97
C0700,0.0,17.5
C0701,0.0,17.61
C0702,0.0,18.31
C0703,0.0,17.04
C0704,0.0,17.5
C0705,0.0,18.92
C0706,0.0,18.61
C0707,0.0,18.85
C0708,0.0,17.44
C0709,0.0,18.08
C0710,0.0,20.0
C0711,0.0,18.15
C0712,0.0,17.17
C0713,0.0,18.21
C0714,0.0,17.69
C0715,0.0,17.84
C0716,0.0,17.64
C0717,0.0,18.73
C0718,0.0,18.75
C0719,0.0,18.62
C0720,0.0,17.42
C0721,0.0,18.9
C0722,0.0,18.23
C0723,0.0,17.12
C0724,0.0,17.82
C0725,0.0,17.67
C0726,0.0,18.34
C0727,0.0,18.88
C0728,0.0,20.0
