code_type,code,location_id,wave_id
HUB,H5137517,0,
HUB,H8262235,1,
HUB,H5101794,2,
HUB,H9356173,3,
HUB,H8433724,4,
HUB,H1838995,5,
HUB,H8769297,6,
HUB,H2530061,7,
HUB,H0413195,8,
HUB,H0453467,9,
HUB,H8165666,10,
HUB,H9565684,11,
HUB,H6050098,12,
HUB,H8256685,13,
HUB,H4540345,14,
HUB,H3018326,15,
HUB,H4757749,16,
HUB,H4167637,17,
HUB,H6783052,18,
HUB,H3166714,19,
HUB,H6721617,20,
HUB,H7565829,21,
HUB,H1677958,22,
HUB,H8689680,23,
HUB,H0609006,24,
HUB,H3674211,25,
HUB,H8734764,26,
HUB,H4345753,27,
HUB,H8651405,28,
HUB,H8471386,29,
HUB,H2867979,30,
HUB,H9771226,31,
HUB,H0873212,32,
HUB,H5062728,33,
HUB,H9588888,34,
HUB,H8695072,35,
HUB,H6632883,36,
HUB,H2332047,37,
HUB,H7483072,38,
HUB,H8082312,39,
HUB,H3311153,40,
HUB,H9049517,41,
HUB,H6085334,42,
HUB,H0338101,43,
HUB,H6728187,44,
HUB,H4351458,45,
HUB,H8796573,46,
HUB,H6936608,47,
HUB,H4578926,48,
HUB,H7343384,49,
HUB,H5764968,50,
HUB,H2633478,51,
HUB,H9314583,52,
HUB,H5378443,53,
HUB,H1612249,54,
HUB,H1937437,55,
HUB,H1710216,56,
HUB,H6871675,57,
HUB,H6627690,58,
HUB,H6035366,59,
HUB,H9933387,60,
HUB,H5520165,61,
HUB,H1368147,62,
HUB,H1825153,63,
HUB,H8813822,64,
HUB,H6924583,65,
HUB,H4306162,66,
HUB,H6640390,67,
HUB,H8440870,68,
HUB,H2950926,69,
HUB,H5300801,70,
HUB,H1815747,71,
HUB,H5668323,72,
HUB,H2583559,73,
HUB,H0699947,74,
HUB,H0280899,75,
HUB,H0988330,76,
HUB,H2321952,77,
HUB,H4674362,78,
HUB,H2102870,79,
HUB,H7734574,80,
HUB,H5018652,81,
HUB,H8550925,82,
HUB,H4099106,83,
HUB,H6991949,84,
HUB,H3942643,85,
HUB,H6460269,86,
HUB,H1861644,87,
HUB,H0003600,88,
HUB,H8569041,89,
HUB,H9162742,90,
HUB,H6141913,91,
HUB,H2964336,92,
HUB,H6925616,93,
HUB,H2939724,94,
HUB,H0229477,95,
HUB,H8641567,96,
HUB,H1925037,97,
HUB,H6853468,98,
HUB,H8339926,99,
HUB,H8969662,100,
HUB,H1335409,101,
HUB,H1442345,102,
HUB,H9639417,103,
HUB,H8596497,104,
HUB,H1195802,105,
HUB,H3475967,106,
HUB,H3970644,107,
HUB,H6390089,108,
HUB,H4100877,109,
HUB,H6470902,110,
HUB,H7955506,111,
HUB,H5857241,112,
HUB,H4562395,113,
HUB,H8973697,114,
HUB,H8527371,115,
HUB,H6671838,116,
HUB,H6227262,117,
HUB,H4755549,118,
HUB,H7587369,119,
HUB,H6971647,120,
HUB,H0847956,121,
HUB,H3271932,122,
HUB,H3056831,123,
HUB,H3318961,124,
HUB,H5093798,125,
HUB,H6333537,126,
HUB,H4918528,127,
HUB,H5621478,128,
HUB,H6804374,129,
HUB,H0712836,130,
HUB,H1003661,131,
HUB,H8214308,132,
HUB,H9891865,133,
HUB,H9849028,134,
HUB,H9729474,135,
HUB,H8904705,136,
HUB,H9447966,137,
HUB,H2579829,138,
HUB,H8216900,139,
HUB,H9872751,140,
HUB,H3684961,141,
HUB,H5596495,142,
HUB,H6895096,143,
HUB,H0132865,144,
HUB,H0951771,145,
HUB,H3221534,146,
HUB,H7729641,147,
HUB,H4812759,148,
HUB,H9001370,149,
HUB,H3421223,150,
HUB,H1836689,151,
HUB,H5978052,152,
HUB,H9560594,153,
HUB,H5698266,154,
HUB,H8317092,155,
HUB,H1887420,156,
HUB,H2770259,157,
HUB,H0333810,158,
HUB,H6300641,159,
HUB,H5416209,160,
HUB,H3802195,161,
HUB,H5995156,162,
HUB,H9322829,163,
HUB,H1090912,164,
HUB,H6536700,165,
HUB,H3292857,166,
HUB,H5844145,167,
HUB,H6712659,168,
HUB,H2051729,169,
HUB,H4020206,170,
HUB,H6196779,171,
HUB,H0184939,172,
HUB,H9418930,173,
HUB,H1149426,174,
HUB,H0211752,175,
HUB,H8112538,176,
HUB,H3299803,177,
HUB,H7812754,178,
HUB,H7462287,179,
HUB,H5939590,180,
HUB,H0498462,181,
HUB,H7867297,182,
HUB,H5489303,183,
HUB,H6105270,184,
HUB,H7051804,185,
HUB,H3638702,186,
HUB,H4142838,187,
HUB,H3223520,188,
HUB,H2890984,189,
HUB,H5719547,190,
HUB,H3035187,191,
HUB,H9791519,192,
HUB,H4820220,193,
HUB,H7685466,194,
HUB,H3192281,195,
HUB,H1359797,196,
HUB,H3865638,197,
HUB,H6240202,198,
HUB,H9460882,199,
HUB,H6511464,200,
HUB,H3639120,201,
HUB,H9730171,202,
HUB,H4931571,203,
HUB,H5518686,204,
HUB,H4623052,205,
HUB,H8712634,206,
HUB,H0829073,207,
HUB,H6299223,208,
HUB,H1181656,209,
HUB,H6301721,210,
HUB,H7022520,211,
HUB,H7473134,212,
HUB,H8177698,213,
HUB,H3871661,214,
HUB,H5784744,215,
HUB,H6736238,216,
HUB,H2842584,217,
HUB,H0044187,218,
HUB,H0981114,219,
HUB,H4299978,220,
HUB,H2108240,221,
HUB,H8108734,222,
HUB,H9094289,223,
HUB,H7470068,224,
HUB,H3167625,225,
HUB,H0636912,226,
HUB,H3310243,227,
HUB,H9079940,228,
HUB,H8937969,229,
HUB,H4482614,230,
HUB,H9956961,231,
HUB,H5211687,232,
HUB,H5981170,233,
HUB,H8315787,234,
HUB,H7002950,235,
HUB,H3116908,236,
HUB,H7997078,237,
HUB,H2445826,238,
HUB,H7576030,239,
HUB,H0045042,240,
HUB,H1638471,241,
HUB,H9233483,242,
HUB,H6919287,243,
HUB,H5931477,244,
HUB,H5354029,245,
HUB,H3194282,246,
HUB,H9168337,247,
HUB,H2727684,248,
HUB,H8588819,249,
HUB,H5483658,250,
HUB,H8313677,251,
HUB,H8925420,252,
HUB,H5415364,253,
HUB,H9369009,254,
HUB,H0799684,255,
HUB,H9880159,256,
HUB,H4501807,257,
HUB,H6050291,258,
HUB,H5643507,259,
HUB,H8624449,260,
HUB,H5048211,261,
HUB,H9250360,262,
HUB,H0453540,263,
HUB,H6663011,264,
HUB,H0417320,265,
HUB,H8580754,266,
HUB,H5227056,267,
HUB,H2120808,268,
HUB,H8997082,269,
HUB,H2032905,270,
HUB,H7250271,271,
HUB,H2838788,272,
HUB,H1139875,273,
HUB,H9505436,274,
HUB,H0798430,275,
HUB,H8324963,276,
HUB,H6454617,277,
HUB,H7568048,278,
HUB,H8270482,279,
HUB,H7580887,280,
HUB,H3253012,281,
HUB,H8607476,282,
HUB,H8701987,283,
HUB,H0796059,284,
HUB,H3865237,285,
HUB,H7243082,286,
HUB,H9278343,287,
HUB,H3419290,288,
HUB,H4488024,289,
HUB,H2385652,290,
HUB,H7405925,291,
HUB,H3241509,292,
HUB,H4661483,293,
HUB,H2370202,294,
HUB,H0495109,295,
WAVE,W0,,0
WAVE,W1,,1
WAVE,W2,,2
WAVE,W3,,3
WAVE,W4,,4
WAVE,W5,,5
WAVE,W6,,6
